"File","Function","StartLine","EndLine","LOC","CyclomaticProxy","NestDepthProxy"
"app/api/v1/deps.py","get_db","25","33","9","1","3"
"app/api/v1/deps.py","get_current_user","34","109","76","22","5"
"app/api/v1/deps.py","_is_same_host","63","109","47","12","2"
"app/api/v1/deps.py","get_current_active_user","110","118","9","2","2"
"app/api/v1/deps.py","require_admin","119","128","10","2","3"
"app/api/v1/endpoints/auth.py","_set_auth_cookies","34","56","23","1","2"
"app/api/v1/endpoints/auth.py","login_for_access_token","57","90","34","5","3"
"app/api/v1/endpoints/auth.py","refresh_access_token_endpoint","91","150","60","12","3"
"app/api/v1/endpoints/auth.py","logout","151","159","9","2","1"
"app/api/v1/endpoints/auth.py","create_user","160","182","23","2","2"
"app/api/v1/endpoints/auth.py","read_current_user","183","187","5","1","1"
"app/api/v1/endpoints/employees.py","_compute_today_hours","40","57","18","6","3"
"app/api/v1/endpoints/employees.py","_check_is_late","58","75","18","5","2"
"app/api/v1/endpoints/employees.py","scan_card","76","202","127","21","4"
"app/api/v1/endpoints/employees.py","_record_break_event","203","240","38","7","3"
"app/api/v1/endpoints/employees.py","break_start","241","249","9","2","1"
"app/api/v1/endpoints/employees.py","break_end","250","259","10","2","1"
"app/api/v1/endpoints/employees.py","list_employees","260","282","23","2","2"
"app/api/v1/endpoints/employees.py","create_employee","283","303","21","2","3"
"app/api/v1/endpoints/employees.py","get_employee","304","318","15","2","2"
"app/api/v1/endpoints/employees.py","update_employee","319","339","21","3","2"
"app/api/v1/endpoints/employees.py","delete_employee","340","354","15","2","2"
"app/api/v1/endpoints/reports.py","_ensure_utc","62","66","5","1","1"
"app/api/v1/endpoints/reports.py","_safe_csv_cell","67","78","12","5","2"
"app/api/v1/endpoints/reports.py","_get_timezone_offset","79","91","13","3","2"
"app/api/v1/endpoints/reports.py","_validate_date_input","92","101","10","2","3"
"app/api/v1/endpoints/reports.py","_calc_duration","102","137","36","14","4"
"app/api/v1/endpoints/reports.py","attendance_today","138","165","28","4","3"
"app/api/v1/endpoints/reports.py","reports_summary","166","212","47","7","4"
"app/api/v1/endpoints/reports.py","daily_csv","213","275","63","8","5"
"app/api/v1/endpoints/reports.py","_fmt_time","234","239","6","2","2"
"app/api/v1/endpoints/reports.py","iter_csv","240","275","36","6","4"
"app/api/v1/endpoints/reports.py","_count_weekdays","276","287","12","3","3"
"app/api/v1/endpoints/reports.py","monthly_report","288","339","52","8","4"
"app/api/v1/endpoints/reports.py","analytics_trends","340","375","36","3","4"
"app/api/v1/endpoints/reports.py","employee_analytics","376","431","56","7","3"
"app/api/v1/endpoints/reports.py","health","432","455","24","4","2"
"app/api/v1/endpoints/reports.py","system_status","456","479","24","4","2"
"app/api/v1/endpoints/reports.py","absence_report","480","698","219","48","4"
"app/api/v1/endpoints/reports.py","live_stats","699","806","108","24","4"
"app/api/v1/endpoints/reports.py","clear_attendance","807","861","55","21","4"
"app/api/v1/endpoints/reports.py","create_absence_override","862","920","59","9","3"
"app/api/v1/endpoints/reports.py","list_absence_overrides","921","959","39","6","3"
"app/api/v1/endpoints/reports.py","delete_absence_override","960","980","21","2","2"
"app/api/v1/endpoints/reports.py","employee_absence_detail","981","1076","96","21","3"
