"occurrences","snippet","refs"
"5","<link rel=""icon"" type=""image/png"" href=""/img/logo.png?v=3"">
<link rel=""preconnect"" href=""https://fonts.googleapis.com"">
<link rel=""preconnect"" href=""https://fonts.gstatic.com"" crossorigin>
<link
href=""https://fonts.googleapis.com/css2?family=Plus+Jakarta+Sans:wght@400;600;700;800&family=JetBrains+Mono:wght@400;500&display=swap""
rel=""stylesheet"" media=""print"" onload=""this.media='all'"">","frontend/employees.html:9 | frontend/index.html:9 | frontend/register.html:9 | frontend/reports.html:9 | frontend/settings.html:9"
"5","<link rel=""preconnect"" href=""https://fonts.googleapis.com"">
<link rel=""preconnect"" href=""https://fonts.gstatic.com"" crossorigin>
<link
href=""https://fonts.googleapis.com/css2?family=Plus+Jakarta+Sans:wght@400;600;700;800&family=JetBrains+Mono:wght@400;500&display=swap""
rel=""stylesheet"" media=""print"" onload=""this.media='all'"">
<link rel=""stylesheet"" href=""css/main.css?v=8"">","frontend/employees.html:10 | frontend/index.html:10 | frontend/register.html:10 | frontend/reports.html:10 | frontend/settings.html:10"
"4","rel=""stylesheet"" media=""print"" onload=""this.media='all'"">
<link rel=""stylesheet"" href=""css/main.css?v=8"">
</head>
<body>
<!-- Layout Containers -->
<div id=""sidebar-container""></div>","frontend/admin.html:14 | frontend/employees.html:14 | frontend/register.html:14 | frontend/reports.html:14"
"4","<link rel=""stylesheet"" href=""css/main.css?v=8"">
</head>
<body>
<!-- Layout Containers -->
<div id=""sidebar-container""></div>
<main class=""main-content"">","frontend/admin.html:15 | frontend/employees.html:15 | frontend/register.html:15 | frontend/reports.html:15"
"4","</head>
<body>
<!-- Layout Containers -->
<div id=""sidebar-container""></div>
<main class=""main-content"">
<div id=""header-container""></div>","frontend/admin.html:16 | frontend/employees.html:16 | frontend/register.html:16 | frontend/reports.html:16"
"3","<link
href=""https://fonts.googleapis.com/css2?family=Plus+Jakarta+Sans:wght@400;600;700;800&family=JetBrains+Mono:wght@400;500&display=swap""
rel=""stylesheet"" media=""print"" onload=""this.media='all'"">
<link rel=""stylesheet"" href=""css/main.css?v=8"">
</head>
<body>","frontend/employees.html:12 | frontend/register.html:12 | frontend/reports.html:12"
"3","href=""https://fonts.googleapis.com/css2?family=Plus+Jakarta+Sans:wght@400;600;700;800&family=JetBrains+Mono:wght@400;500&display=swap""
rel=""stylesheet"" media=""print"" onload=""this.media='all'"">
<link rel=""stylesheet"" href=""css/main.css?v=8"">
</head>
<body>
<!-- Layout Containers -->","frontend/employees.html:13 | frontend/register.html:13 | frontend/reports.html:13"
"3","}
to {
opacity: 1;
transform: translateY(0);
}
}","frontend/css/main.css:329 | frontend/css/main.css:758 | frontend/index.html:225"
"3","<link rel=""preconnect"" href=""https://fonts.gstatic.com"" crossorigin>
<link
href=""https://fonts.googleapis.com/css2?family=Plus+Jakarta+Sans:wght@400;600;700;800&family=JetBrains+Mono:wght@400;500&display=swap""
rel=""stylesheet"" media=""print"" onload=""this.media='all'"">
<link rel=""stylesheet"" href=""css/main.css?v=8"">
</head>","frontend/employees.html:11 | frontend/register.html:11 | frontend/reports.html:11"
"2","Column,
DateTime,
ForeignKey,
Index,
Integer,
String,","app/models/absence_override.py:10 | app/models/employee.py:9"
